Elapsed Time,Pid,Iteration,Coverage Count,Corpus Entries,Crashes
0h 2m 53s,10176,1,21292,76164,0
0h 3m 8s,10171,1,21148,76171,0
0h 3m 10s,10173,1,21458,76165,0
0h 3m 12s,10175,1,18381,76155,0
0h 3m 12s,10172,1,20553,76162,0
0h 3m 20s,10170,1,20674,76166,0
0h 3m 27s,10174,1,20955,76161,0
