Elapsed Time,Total execs,Unique samples,Crashes,Hangs,Offsets,Execs/s,Fuzzing sample,Instr CoreSVG,Instr ImageIO,Instr XCTTargetBootstrap
00h 01m 35s,6758,785,0,12,33957,58,,245760,3678208,24576
00h 01m 35s,6835,791,0,12,33972,77,,245760,3678208,24576
00h 01m 37s,6900,795,0,12,34026,65,,245760,3678208,24576
00h 01m 37s,6973,797,0,13,34032,73,,245760,3678208,24576
00h 01m 39s,7070,808,0,13,34086,97,,245760,3678208,24576
00h 01m 39s,7152,811,0,14,34095,82,,245760,3678208,24576
00h 01m 41s,7239,818,0,14,34117,87,,245760,3678208,24576
00h 01m 42s,7349,826,0,14,34163,110,,245760,3678208,24576
00h 01m 42s,7447,833,0,14,34255,98,,245760,3678208,24576
00h 01m 44s,7547,843,0,14,34281,100,,245760,3678208,24576
00h 01m 44s,7669,856,0,14,34346,122,,245760,3678208,24576
00h 01m 46s,7779,862,0,14,34360,110,,245760,3678208,24576
00h 01m 47s,7860,870,0,14,34413,81,,245760,3678208,24576
00h 01m 47s,7971,878,0,14,34451,111,,245760,3678208,24576
00h 01m 49s,8091,885,0,14,34470,120,,245760,3678208,24576
00h 01m 51s,8201,892,0,14,34493,110,,245760,3678208,24576
00h 01m 51s,8300,900,0,14,34506,99,,245760,3678208,24576
00h 01m 51s,8392,908,0,14,34550,92,,245760,3678208,24576
00h 01m 53s,8465,914,0,14,34572,73,,245760,3678208,24576
00h 01m 53s,8548,918,0,14,34637,83,,245760,3678208,24576
00h 01m 55s,8638,925,0,14,34653,90,,245760,3678208,24576
00h 01m 55s,8717,928,0,14,34664,79,,245760,3678208,24576
00h 02m 00s,8790,931,0,14,34671,73,,245760,3678208,24576
00h 02m 00s,8851,933,0,15,34717,61,,245760,3678208,24576
00h 02m 00s,8914,938,0,15,34797,63,,245760,3678208,24576
00h 02m 00s,8926,940,0,15,34800,12,,,,
00h 02m 00s,8926,940,0,15,34800,0,,245760,3678208,24576
00h 02m 02s,8959,941,0,18,34821,33,,245760,3678208,24576
00h 02m 02s,9016,943,0,20,34853,57,,245760,3678208,24576
00h 02m 04s,9100,949,0,22,34864,84,,245760,3678208,24576
00h 02m 04s,9194,953,0,22,34889,94,,245760,3678208,24576
00h 02m 08s,9279,955,0,23,34899,85,,245760,3678208,24576
00h 02m 08s,9340,960,0,23,34943,61,,245760,3678208,24576
00h 02m 08s,9375,963,0,23,34951,35,,245760,3678208,24576
00h 02m 08s,9400,965,0,23,34953,25,,245760,3678208,24576
00h 02m 13s,9431,968,0,25,34964,31,,245760,3678208,24576
00h 02m 13s,9505,972,0,28,34970,74,,245760,3678208,24576
00h 02m 13s,9564,978,0,29,34981,59,,245760,3678208,24576
00h 02m 13s,9584,980,0,29,34984,20,,245760,3678208,24576
00h 02m 13s,9602,980,0,30,34984,18,,245760,3678208,24576
00h 02m 16s,9626,982,0,30,34986,24,,245760,3678208,24576
00h 02m 16s,9666,984,0,34,34991,40,,245760,3678208,24576
00h 02m 16s,9719,987,0,36,34998,53,,245760,3678208,24576
00h 02m 20s,9786,989,0,36,35021,67,,245760,3678208,24576
00h 02m 20s,9811,991,0,36,35023,25,,245760,3678208,24576
00h 02m 20s,9837,992,0,38,35024,26,,245760,3678208,24576
00h 02m 20s,9865,993,0,39,35025,28,,245760,3678208,24576
00h 02m 25s,9905,994,0,41,35026,40,,245760,3678208,24576
00h 02m 25s,9952,996,0,42,35028,47,,245760,3678208,24576
00h 02m 25s,9971,997,0,44,35029,19,,245760,3678208,24576
00h 02m 25s,9993,999,0,44,35056,22,,245760,3678208,24576
00h 02m 25s,10019,999,0,45,35056,26,,245760,3678208,24576
00h 02m 29s,10060,1003,0,48,35172,41,,245760,3678208,24576
00h 02m 29s,10104,1004,0,48,35175,44,,245760,3678208,24576
00h 02m 29s,10150,1005,0,50,35176,46,,245760,3678208,24576
00h 02m 31s,10218,1005,0,50,35176,68,,245760,3678208,24576
00h 02m 31s,10254,1007,0,51,35178,36,,245760,3678208,24576
00h 02m 31s,10307,1009,0,54,35181,53,,245760,3678208,24576
00h 02m 34s,10379,1014,0,54,35199,72,,245760,3678208,24576
00h 02m 34s,10417,1015,0,55,35201,38,,245760,3678208,24576
00h 02m 34s,10488,1022,0,56,35224,71,,245760,3678208,24576
00h 02m 37s,10538,1023,0,57,35232,50,,245760,3678208,24576
00h 02m 37s,10588,1025,0,58,35252,50,,245760,3678208,24576
00h 02m 40s,10662,1028,0,59,35260,74,,245760,3678208,24576
00h 02m 40s,10726,1032,0,61,35277,64,,245760,3678208,24576
00h 02m 40s,10813,1037,0,61,35319,87,,245760,3678208,24576
00h 02m 45s,10858,1042,0,61,35334,45,,245760,3678208,24576
00h 02m 45s,10895,1042,0,61,35334,37,,245760,3678208,24576
00h 02m 45s,10931,1046,0,62,35344,36,,245760,3678208,24576
00h 02m 45s,10959,1049,0,66,35347,28,,245760,3678208,24576
00h 02m 49s,11022,1052,0,67,35369,63,,245760,3678208,24576
00h 02m 49s,11079,1054,0,69,35371,57,,245760,3678208,24576
00h 02m 49s,11127,1055,0,69,35372,48,,245760,3678208,24576
00h 02m 53s,11168,1058,0,69,35397,41,,245760,3678208,24576
00h 02m 53s,11204,1058,0,69,35397,36,,245760,3678208,24576
